masked,correct
(в) колыш..щейся (ржи),колышущейся
(включить) пр..ёмник,приёмник
(всероссийские) ..дравницы,здравницы
(выехать) засветл..,засветло
(глаза) забл..стели,заблестели
(камень) пр..ткновения,преткновения
(лесной) объезд..ик,объездчик
(летит) стр..ла,стрела
(металл) нак..лился,накалился
(молодая) пор..сль (кустов),поросль
(мы) пляш..м,пляшем
(не) прид..рёшься,придерёшься
(отремонтировать) ..дание,здание
(пилить) нож..вкой,ножовкой
(покрытый) ин..ем,инеем
(ранняя) с..дина,седина
(резиновые) сап..ги,сапоги
(рыболовный) сач..к,сачок
(свернуть) влев..,влево
(сделать) запрост..,запросто
(соловьи) засвищ..т,засвищут
(улицы) обезлюд..ли,обезлюдели
(цветок) ув..дает,увядает
..моральное (поведение),аморальное
..социальное (явление),асоциальное
Пр..морье,Приморье
аб..туриент,абитуриент
абон..мент,абонемент
ад..ютант,адъютант
адр..совать,адресовать
ак..демия,академия
акад..мический,академический
алюмини..вый,алюминиевый
англо-рус..кий,англо-русский
анн..тация,аннотация
ант..научный,антинаучный
ант..художественный,антихудожественный
антин..учный,антинаучный
апл..дисменты,аплодисменты
аплодир..вать,аплодировать
ар..ергард,арьергард
арх..важный,архиважный
асф..льтированный,асфальтированный
асф..льтировать,асфальтировать
аукц..он,аукцион
аф..ристичный,афористичный
б..гровый,багровый
б..лкон,балкон
б..ллетень,бюллетень
б..снописец,баснописец
б..ющийся,бьющийся
бар..льеф,барельеф
бе..болезненно,безболезненно
бе..болезненный,безболезненный
бе..брежный,безбрежный
бе..вестный,безвестный
бе..вкусный,безвкусный
бе..выходное,безвыходное
бе..голосый,безголосый
бе..граничный,безграничный
бе..дельник,бездельник
бе..жалостный,безжалостный
бе..земельный,безземельный
бе..компромиссный,бескомпромиссный
бе..контрольный,бесконтрольный
бе..перспективный,бесперспективный
бе..помощный,беспомощный
бе..порядочный,беспорядочный
бе..принципный,беспринципный
бе..пробудный (сон),беспробудный
бе..сердечный,бессердечный
бе..срочный,бессрочный
бе..хозный,бесхозный
бе..цельный,бесцельный
бе..человечный,бесчеловечный
бе..численный,бесчисленный
бе..шовный,бесшовный
без..дейный,безыдейный
без..ндукционный,безындукционный
без..нициативный,безынициативный
без..нтересный,безынтересный
без..скусный,безыскусный
без..сходный,безысходный
без..ядерный,безъядерный
без..языкий,безъязыкий
бел..зна,белизна
бел..зна (снега),белизна
беле..щий,белеющий
берест..ной,берестяной
бесед..вать,беседовать
бесп..лезный,бесполезный
беспоко..шься,беспокоишься
беспоко..щаяся,беспокоящаяся
беспоко..щийся,беспокоящийся
беспр..мерный,беспримерный
бл..стательный,блистательный
бл..стеть,блестеть
бл..стяще,блестяще
бл..стящий,блестящий
благосл..вить,благословить
благоч..стивый,благочестивый
блещ..щий (умом),блещущий
бли..сидящий,близсидящий
болот..стая (местность),болотистая
бор..шься,борешься
бор..щийся,борющийся
боч..нок,бочонок
брош..нный,брошенный
брызж..щий (искрами),брызжущий
брызж..щий (фонтан),брызжущий
бул..он,бульон
бур..ян,бурьян
бюлл..тень,бюллетень
в..дремнуть,вздремнуть
в..едливый,въедливый
в..зместить,возместить
в..зомнить,возомнить
в..ликолепный,великолепный
в..лосипед,велосипед
в..льнолюбивый,вольнолюбивый
в..негрет,винегрет
в..плотить,воплотить
в..рошить,ворошить
в..рсистый,ворсистый
в..ртеть,вертеть
в..ртуозный,виртуозный
в..рыхлить,взрыхлить
в..схождение,восхождение
в..теран,ветеран
в..щественные (доказательства),вещественные
в..юга,вьюга
в..южный,вьюжный
в..юнок,вьюнок
в..ётся,вьётся
варень..це,вареньице
вд..леке,вдалеке
вдавл..вая,вдавливая
вдумч..вый,вдумчивый
ве..щий (ветерок),веющий
вежл..вый,вежливый
вел..чайший,величайший
вер..щий (в судьбу),верящий
вермишел..вый,вермишелевый
верт..шься,вертишься
весёл..нький,весёленький
ветр..на,ветрена
вз..ерошенный,взъерошенный
вз..ерошить,взъерошить
вз..мать,взимать
вз..мать (налог),взимать
вз..мать (плату),взимать
вз..скание,взыскание
вз..скательный (слушатель),взыскательный
вз..скать,взыскать
взап..рти,взаперти
взб..дриться,взбодриться
взгл..нуть,взглянуть
взглян..шь,взглянешь
взлеле..в,взлелеяв
взлеле..нный,взлелеянный
взрывч..тые (вещества),взрывчатые
вид..мый,видимый
вити..ватый,витиеватый
вн..атмосферный,внеатмосферный
вн..запно,внезапно
вн..служебный,внеслужебный
внемл..щий (советам),внемлющий
во..даяние,воздаяние
во..держание (от пищи),воздержание
во..звание,воззвание
во..кликнуть,воскликнуть
во..пылать,воспылать
во..росший,возросший
во..становление (промышленности),восстановление
вод..ной,водяной
водор..сли,водоросли
воз..бновил,возобновил
воз..меть,возыметь
возвр..щаясь,возвращаясь
возг..рание,возгорание
возр..стать,возрастать
возр..стной,возрастной
волшебн..ца,волшебница
воодуш..вить,воодушевить
вопл..щать (в жизнь),воплощать
вороб..иный,воробьиный
вороч..ться,ворочаться
воскл..цание,восклицание
восп..тать,воспитать
воспева..мый,воспеваемый
воспом..нание,воспоминание
воспринима..мый,воспринимаемый
воссоед..нение,воссоединение
восстанов..шь,восстановишь
вост..ргаться,восторгаться
вр..дители,вредители
врач..вать,врачевать
врем..чко,времечко
вскоч..шь,вскочишь
вспен..вшийся,вспенившийся
вспомн..шь,вспомнишь
встрет..шь,встретишь
встрет..шься,встретишься
въедл..вый,въедливый
выб..рать,выбирать
выбер..шь,выберешь
выброш..нный (на обочину дороги),выброшенный
выв..дение,выведение
выв..ска (на двери),вывеска
вывеш..вать,вывешивать
выг..реть,выгореть
выгляд..шь (хорошо),выглядишь
выглян..шь,выглянешь
выгон..шь,выгонишь
выздоравл..вать,выздоравливать
выкидыва..шь,выкидываешь
выл..вать,выливать
вылет..шь,вылетишь
вылеч..шься,вылечишься
вылин..вшая (ткань),вылинявшая
выносл..вый,выносливый
выр..сли,выросли
выр..стал,вырастал
выр..стали,вырастали
выр..сти,вырасти
выруч..шь,выручишь
высад..шь,высадишь
выск..зать,высказать
выск..чить,выскочить
выскоч..шь,выскочишь
выстел..шь,выстелешь
выстрел..вший,выстреливший
выстро..шь,выстроишь
высуш..нный,высушенный
выт..рать,вытирать
выт..реть (посуду),вытереть
выт..реть (стол),вытереть
вытащ..нный,вытащенный
вытерп..шь,вытерпишь
выч..сление,вычисление
выч..та,вычета
выч..тание,вычитание
вышаг..вать,вышагивать
г..мназисты,гимназисты
г..рделивый,горделивый
г..ревать,горевать
г..ризонт,горизонт
г..ристая (местность),гористая
г..рнизон,гарнизон
г..роизм,героизм
г..роический,героический
г..сударственный,государственный
г..сударство,государство
гиг..енический,гигиенический
гиги..нический,гигиенический
глин..ный (кувшин),глиняный
глин..стая (почва),глинистая
глин..стый,глинистый
глянц..вый,глянцевый
гор..вать,горевать
гориз..нтальный,горизонтальный
горош..к,горошек
горош..нка,горошинка
гостепр..имный,гостеприимный
гречн..вый,гречневый
грохоч..щие (валы),грохочущие
губ..рнатор,губернатор
д..верять,доверять
д..зориентация,дезориентация
д..лина,долина
д..лёкий,далёкий
д..монтаж,демонтаж
д..рижёр,дирижёр
д..сквалификация,дисквалификация
д..сквалифицировать,дисквалифицировать
д..скомфорт,дискомфорт
д..спропорция,диспропорция
д..станционный,дистанционный
д..сфункция,дисфункция
дав..щий (груз),давящий
движ..мый,движимый
движ..щаяся (машина),движущаяся
движ..щийся,движущийся
двух..ярусный,двухъярусный
девч..нка,девчонка
дез..нфекция,дезинфекция
дезор..ентировать,дезориентировать
дек..рация,декорация
ди..лог,диалог
ди..пазон,диапазон
диап..зон,диапазон
дин..мический,динамический
добыва..мый,добываемый
довер..нный,доверенный
доверч..вый,доверчивый
доз..правка,дозаправка
долож..шь,доложишь
доп..лнительный,дополнительный
дорогосто..щая (мебель),дорогостоящая
дорогосто..щие (препараты),дорогостоящие
дорогосто..щий,дорогостоящий
досрочн..,досрочно
досух..,досуха
др..жать (от холода),дрожать
др..знить,дразнить
др..знить (собаку),дразнить
др..мота,дремота
дремл..шь,дремлешь
дремл..щий,дремлющий
дров..ной (сарай),дровяной
дружоч..к,дружочек
дымч..тый,дымчатый
дыш..щий (легко),дышащий
дыш..щий (свободно),дышащий
ед..номышленник,единомышленник
еж..вые (рукавицы),ежовые
ж..стикулировать,жестикулировать
животрепещ..щий,животрепещущий
з..байкальский,забайкальский
з..бежать (на минуту),забежать
з..вязал,завязал
з..ночевать,заночевать
з..облачные (цены),заоблачные
з..певала,запевала
з..рисовка,зарисовка
з..рнистый,зернистый
з..рница,зарница
з..ход,заход
за..граться,заиграться
за..нтересовать,заинтересовать
за..нтересоваться,заинтересоваться
забл..ставший,заблиставший
забл..стеть,заблестеть
забол..вающий,заболевающий
заботл..вый,заботливый
зав..щать,завещать
зав..южило,завьюжило
завед..вал,заведовал
завед..вать,заведовать
завед..вать (отделением),заведовать
завещ..нный (дом),завещанный
завид..вать,завидовать
завис..мый,зависимый
завис..шь,зависишь
завистл..вый,завистливый
завлад..вать,завладевать
заг..дать,загадать
заг..релый,загорелый
заг..реться,загореться
загон..шь,загонишь
загром..ждать,загромождать
загром..здить,загромоздить
задерж..нный,задержанный
задерж..шься,задержишься
задр..жавший,задрожавший
задр..жать,задрожать
задремл..шь,задремлешь
задумч..вый,задумчивый
заж..гательный,зажигательный
заж..гать,зажигать
зак..зать,заказать
закле..вший,заклеивший
закле..нный,заклеенный
закле..шь,заклеишь
законч..вший,закончивший
закручива..мый,закручиваемый
зала..вшая (собака),залаявшая
зала..вший,залаявший
зам..рев,замерев
зам..реть,замереть
зам..реть (от восторга),замереть
зам..чание,замечание
зам..чательный,замечательный
замш..вый,замшевый
зан..мательный (рассказ),занимательный
зан..маться,заниматься
занима..мый,занимаемый
занос..шь,заносишь
заносч..вый,заносчивый
зап..рать (на замок),запирать
зап..реть (дверь),запереть
зап..реться (в комнате),запереться
зап..тевать,запотевать
запомн..вшийся,запомнившийся
запот..вавший,запотевавший
запот..вать,запотевать
запрост..,запросто
засветл..,засветло
засе..нное (поле),засеянное
засе..нный,засеянный
засе..шь,засеешь
заслуша..шься,заслушаешься
застел..шь (покрывалом),застелешь
застенч..вый,застенчивый
застр..вать,застревать
застр..ховаться,застраховаться
застра..вать,застраивать
застра..вающий,застраивающий
затв..рить (окно),затворить
затверд..вать,затвердевать
затихн..шь,затихнешь
затм..вавший,затмевавший
затм..вать,затмевать
зачёрк..вать,зачёркивать
звоноч..к,звоночек
земл..ные (работы),земляные
землетр..сение,землетрясение
зерк..ло,зеркало
и..бавиться,избавиться
и..балованный,избалованный
и..биратель,избиратель
и..брать,избрать
и..вестить,известить
и..желта-красный,изжелта-красный
и..кажённый,искажённый
и..коверкать,исковеркать
и..колесить,исколесить
и..подтишка,исподтишка
и..портиться,испортиться
и..порченный,испорченный
и..правный,исправный
и..пуг,испуг
и..пугать,испугать
и..рисованный,изрисованный
и..сякнуть,иссякнуть
и..томить,истомить
и..траченный,истраченный
и..черпать,исчерпать
и..черченный,исчерченный
из..мать,изымать
из..скания,изыскания
из..сканность,изысканность
из..сканный,изысканный
из..скать,изыскать
из..явительное (наклонение),изъявительное
из..явить,изъявить
из..ян,изъян
изб..гающий,избегающий
изб..ратель,избиратель
изворотл..вый,изворотливый
изд..вать,издавать
изд..вать (звук),издавать
изд..лека,издалека
издавн..,издавна
изл..гать,излагать
изл..жение,изложение
изм..нение,изменение
изм..нить (поведение),изменить
изм..рение (скорости),измерение
изменч..вость,изменчивость
изра..ходовать,израсходовать
изредк..,изредка
инж..нер,инженер
инт..ллект,интеллект
интелл..гентный,интеллигентный
интелл..ктуальный,интеллектуальный
иск..жать (смысл),искажать
искупа..шь,искупаешь
исп..лнение,исполнение
исп..лнитель,исполнитель
исслед..вать,исследовать
исст..ри,исстари
ист..на,истина
к..вычки,кавычки
к..медия,комедия
к..мпаньон,компаньон
к..ртонная (коробка),картонная
к..сательная (к окружности),касательная
к..сички,косички
к..снуться,коснуться
к..согор,косогор
ка..щийся (грешник),кающийся
кавказ..кий,кавказский
кали..вый,калиевый
камыш..вые (заросли),камышовые
камыш..вый,камышовый
карманч..к,карманчик
кармаш..к,кармашек
кашл..ть,кашлять
кварц..вый,кварцевый
клетч..тый,клетчатый
клянч..щий (конфету),клянчащий
кож..ная (куртка),кожаная
кож..ный (ремень),кожаный
кокетл..во,кокетливо
кол..шь,колешь
кол..шь (дрова),колешь
кол..щийся (предмет),колющийся
колебл..мый,колеблемый
колебл..мый (волной),колеблемый
команд..вать,командовать
комп..ютер,компьютер
кон..юнктура,конъюнктура
конс..рвировать,консервировать
контр..гра,контригра
контролиру..мая (ситуация),контролируемая
кост..ная (нога),костяная
кр..дит,кредит
кр..стьянин,крестьянин
кр..тиковать,критиковать
крас..щийся,красящийся
кресл..це,креслице
купл..нный,купленный
курлыч..щие,курлычущие
л..бединый,лебединый
л..вый,левый
л..гичность,логичность
л..петать,лепетать
л..рический,лирический
ландыш..вый,ландышевый
лег..ндарный,легендарный
лед..нить (душу),леденить
лед..ной (покров),ледяной
леле..ть (ребёнка),лелеять
леле..шь,лелеешь
леч..щий (врач),лечащий
ливн..вые (дожди),ливневые
луков..ца,луковица
м..нимальный,минимальный
м..стерство,мастерство
м..тафора,метафора
м..ханический,механический
ма..лся,маялся
магни..вый,магниевый
марл..вая (повязка),марлевая
масл..це,маслице
мат..риал,материал
матрос..кий,матросский
маш..щий (крыльями),машущий
маяч..щий (вдали лес),маячащий
мед..нститут,мединститут
медвед..ца,медведица
медвеж..нок,медвежонок
меж..гровой,межигровой
меж..здательский,межиздательский
меж..нститутский,межинститутский
меж..языковой,межъязыковой
меж..ярусный,межъярусный
мел..щий (кофе),мелющий
мех..нический,механический
милост..вый,милостивый
миндал..вый,миндалевый
мирово..зрение,мировоззрение
молод..нький,молоденький
мот..вировать,мотивировать
мудр..цы,мудрецы
муч..ться,мучиться
н..бросок,набросок
н..велла,новелла
н..дломить,надломить
н..дорваться,надорваться
н..дпочечник,надпочечник
н..зводить,низводить
н..илучший,наилучший
н..писать,написать
н..рисовал,нарисовал
н..сходящий,нисходящий
на..грать (мелодию),наиграть
на..кусанный,надкусанный
на..кусил,надкусил
на..кусить,надкусить
на..ломиться,надломиться
на..ломленный,надломленный
на..пись,надпись
на..почечник,надпочечник
на..почечники,надпочечники
на..рёберный,надрёберный
на..смотрщик,надсмотрщик
на..ставить (платье),надставить
на..строчный (символ),надстрочный
наде..мся (на лучшее),надеемся
наде..щийся,надеющийся
надломл..нный,надломленный
надоедл..во,надоедливо
надрыв..стый,надрывистый
назойл..вый,назойливый
нак..лить (утюг),накалить
накл..ниться,наклониться
накле..вший,наклеивший
накол..шь,наколешь
накрепк..,накрепко
налад..шь,наладишь
налаж..вать,налаживать
налажива..мый,налаживаемый
намаж..шь,намажешь
нап..дение,нападение
напор..стый (человек),напористый
напр..вление,направление
напр..гаясь,напрягаясь
напр..мик,напрямик
наруша..мый,нарушаемый
наряд..шься,нарядишься
насл..ждение,наслаждение
насла..ваться,наслаиваться
насла..ваясь,наслаиваясь
наследу..мый,наследуемый
насмешл..вый,насмешливый
наста..вал,настаивал
наста..вать,настаивать
наставнич..ство,наставничество
насто..нный (напиток),настоянный
насто..нный (чай),настоянный
натри..вый,натриевый
нач..нающий,начинающий
не..говорчивый,несговорчивый
не..гораемый,несгораемый
не..держанность,несдержанность
не..держанный,несдержанный
не..дешний,нездешний
не..добровать,несдобровать
не..тъемлемый,неотъемлемый
не..хватный,неохватный
небез..звестный,небезызвестный
невид..мый,невидимый
невр..зумительно,невразумительно
нед..варенный (суп),недоваренный
нед..варить,недоварить
нед..верчивый,недоверчивый
недолюбл..вать,недолюбливать
недоум..вать,недоумевать
недоум..вая,недоумевая
нез..вершённая (работа),незавершённая
незабыва..мый,незабываемый
независ..мый,независимый
незанавеш..нный,незанавешенный
незн..комец,незнакомец
незнач..щий,незначащий
незыбл..мый,незыблемый
неисс..каемый,неиссякаемый
немину..мый,неминуемый
немысл..мое (дело),немыслимое
немысл..мые (последствия),немыслимые
нен..глядный,ненаглядный
ненавид..вший,ненавидевший
ненавид..ли,ненавидели
ненавид..мый,ненавидимый
ненавид..шь,ненавидишь
необ..яснимый,необъяснимый
необ..ятный,необъятный
необита..мый,необитаемый
неопису..мый,неописуемый
неосп..римый,неоспоримый
неотъемл..мый,неотъемлемый
непоседл..во,непоседливо
непоседл..вый,непоседливый
непост..жимый,непостижимый
непр..будный,непробудный
непр..годный,непригодный
непр..рывный,непрерывный
непр..ступная (крепость),неприступная
непре..сказуемый,непредсказуемый
неприветл..вый,неприветливый
неприемл..мый,неприемлемый
непром..каемый,непромокаемый
нер..ссказанный,нерассказанный
нера..борчивый,неразборчивый
неряшл..во,неряшливо
несгиба..мый,несгибаемый
неслыш..мый,неслышимый
неуживч..вый,неуживчивый
нефт..ная (скважина),нефтяная
ни..посланный,ниспосланный
ни..послать,ниспослать
ни..провержение,ниспровержение
ни..ходящий,нисходящий
никел..вый,никелевый
нищ..нский,нищенский
нищ..та,нищета
нов..нький,новенький
нож..вка,ножовка
ноздр..ватый,ноздреватый
о..благодарить,отблагодарить
о..блеск,отблеск
о..бой,отбой
о..брасывать,отбрасывать
о..бросил,отбросил
о..бросить,отбросить
о..гадать,отгадать
о..дежурить,отдежурить
о..душина,отдушина
о..звук,отзвук
о..крывать,открывать
об..гнуть (овраг),обогнуть
об..ездной,объездной
об..ективный,объективный
об..зательно,обязательно
об..зать,обязать
об..льстить,обольстить
об..ск,обыск
об..яние,обаяние
об..ятия,объятия
об..ём,объём
об..ёмный,объёмный
обв..нить,обвинить
обгоня..мый,обгоняемый
обе..главить,обезглавить
обе..доленный,обездоленный
обез..яна,обезьяна
обеспеч..вать,обеспечивать
обеспеч..нный,обеспеченный
обид..лись,обиделись
обид..ться,обидеться
обид..шься,обидишься
обиж..нный,обиженный
обла..вать,облаивать
обла..вать (прохожих),облаивать
обнадёж..вать,обнадёживать
обнаруж..вать,обнаруживать
обнаруж..нный,обнаруженный
обог..тить,обогатить
обог..титься,обогатиться
обог..щать,обогащать
обог..щение,обогащение
обозн..чение,обозначение
обр..мление,обрамление
обур..вавший,обуревавший
обур..вают (чувства),обуревают
обур..вающий,обуревающий
обустра..ваться,обустраиваться
объед..нение,объединение
овлад..вать,овладевать
огранич..нный,ограниченный
од..чать,одичать
одол..вать,одолевать
одр..хлевший,одряхлевший
ожида..мый,ожидаемый
оз..рение,озарение
оз..ряться,озаряться
ознаком..вшийся,ознакомившийся
ок..лдовать,околдовать
ок..нчание,окончание
окам..неть,окаменеть
оконч..вший,окончивший
окраш..нный,окрашенный
ол..цетворение,олицетворение
омыва..мый,омываемый
онеме..шь,онемеешь
оп..раться,опираться
оп..реться,опереться
опаса..шься,опасаешься
опл..тить,оплатить
определя..мый,определяемый
опрометч..вость,опрометчивость
оранж..рея,оранжерея
ори..нтир,ориентир
осв..жительный,освежительный
освеща..мый,освещаемый
осл..бев,ослабев
осл..пив,ослепив
осл..плённый,ослеплённый
ослаб..вать,ослабевать
осмотр..шь,осмотришь
осмотр..шься,осмотришься
осмысл..нный,осмысленный
осн..вной,основной
осн..стить,оснастить
осн..щение,оснащение
остав..вший,оставивший
останов..шься,остановишься
остр..нький,остренький
осч..стливить,осчастливить
от..брать,отобрать
от..гранный,отыгранный
от..грать,отыграть
от..граться,отыграться
от..грывать,отыгрывать
от..рвать,оторвать
от..скать,отыскать
от..явленный,отъявленный
отверд..вать,отвердевать
ответ..вший,ответивший
отво..вавший,отвоевавший
отво..вать,отвоевать
отво..вать (право),отвоевать
отг..варивать (от поездки),отговаривать
откле..ть,отклеить
отн..шение,отношение
относ..шься,относишься
отр..сль,отрасль
отр..хнуть,отряхнуть
отрасл..вой,отраслевой
отск..чить,отскочить
отскоч..шь,отскочишь
отста..вать (убеждения),отстаивать
отт..ргать,отторгать
отта..вать,оттаивать
отуч..шься,отучишься
отча..нный (крик),отчаянный
отча..ться,отчаяться
охраня..мый,охраняемый
оц..нить,оценить
оч..ровать,очаровать
оч..ртить,очертить
оч..стительный,очистительный
оч..щение,очищение
ош..ломлённый,ошеломлённый
п..дарить,подарить
п..дбодрить,подбодрить
п..дкараулить,подкараулить
п..дорожник,подорожник
п..дпустить,подпустить
п..завчера,позавчера
п..знавательный,познавательный
п..играть,поиграть
п..лисадник,палисадник
п..мощник,помощник
п..немногу,понемногу
п..норама,панорама
п..переменно,попеременно
п..риодически,периодически
п..рто,порто
п..стух,пастух
п..тнистый,пятнистый
пан..рама,панорама
