masked,correct
парад..ксальный,парадоксальный
параш..т,парашют
парч..вый,парчовый
пас..янс,пасьянс
пед..нститут,пединститут
пер..делать,переделать
передёрг..вая,передёргивая
перекл..каться,перекликаться
перекле..вать,переклеивать
перем..ститься,переместиться
переменч..вый,переменчивый
переплёт..ик,переплётчик
перестро..нный,перестроенный
перешаг..вающий,перешагивающий
пл..вец,пловец
пл..вцы,пловцы
пл..кучая (ива),плакучая
пл..нительный,пленительный
пл..сать,плясать
плать..це,платьице
пляш..щие (люди),пляшущие
по..веска (с изумрудом),подвеска
по..грать,поиграть
по..деть,поддеть
по..задорить,подзадорить
по..кладка,подкладка
по..небесный,поднебесный
по..палить,подпалить
по..править,подправить
по..прыгнуть,подпрыгнуть
по..пустить (близко),подпустить
по..сказка (в загадке),подсказка
по..сковик,поисковик
по..солнечник,подсолнечник
по..стёжка,подстёжка
по..тапливать,подтапливать
по..твердить,подтвердить
по..точить,подточить
по..тянуть,подтянуть
по..цепленный (вагон),подцепленный
по..черкнуть,подчеркнуть
побл..дневший,побледневший
пове..вший,повеявший
повенч..нный,повенчанный
повер..шь,поверишь
повизг..вать,повизгивать
погл..щать,поглощать
под..брать,подобрать
под..грал,подыграл
под..грать,подыграть
под..езд,подъезд
под..ехать,подъехать
под..йти,подойти
под..нтегральный,подынтегральный
под..скать,подыскать
под..спел,подоспел
под..тожить,подытожить
под..шёл,подошёл
под..язычный,подъязычный
под..ярус,подъярус
под..ёмный,подъёмный
подароч..к,подарочек
поджар..шь,поджаришь
подл..котник,подлокотник
подпрыгн..шь,подпрыгнешь
подр..жание,подражание
подр..стающий,подрастающий
подр..сти,подрасти
подразум..вая,подразумевая
подремл..шь,подремлешь
подск..чить,подскочить
подслуш..нный,подслушанный
подстрел..нный (хищник),подстреленный
подстриж..нный,подстриженный
подта..вший,подтаявший
подта..вший (снег),подтаявший
подчёрк..вать,подчёркивать
пож..леть,пожалеть
поз..бросил,позабросил
поз..вчера,позавчера
поз..прошлый,позапрошлый
поз..прошлый (год),позапрошлый
познаком..шься,познакомишься
пок..ление,поколение
пок..ряющий (горы),покоряющий
покаж..шь,покажешь
покл..ниться,поклониться
покле..нный,поклеенный
пол..житься,положиться
пол..житься (на друга),положиться
пол..шь (грядки),полешь
пол..щий (грядку),полющий
помож..шь,поможешь
пон..мание,понимание
попроб..вать,попробовать
поразмысл..шь,поразмыслишь
порт..ера,портьера
порыв..стый (ветер),порывистый
посв..щать (в тайну),посвящать
посвет..м (фонарём),посветим
посе..нный,посеянный
посе..ть,посеять
посме..ваться,посмеиваться
посмотр..шь,посмотришь
пост..мпрессионизм,постимпрессионизм
пост..ндустриальный,постиндустриальный
пост..нфарктный,постинфарктный
постигн..шь (умом),постигнешь
пот..рять,потерять
потр..сение,потрясение
потрат..вший,потративший
потрач..нный,потраченный
потреб..вать,потребовать
потян..шься,потянешься
поч..тать (старших),почитать
почу..вший (опасность),почуявший
пощ..дить,пощадить
пр..амурский,приамурский
пр..бабушка,прабабушка
пр..бавление,прибавление
пр..беречь,приберечь
пр..берёг,приберёг
пр..бинтовать,прибинтовать
пр..брежный,прибрежный
пр..бытие,прибытие
пр..верка,проверка
пр..ветривать,проветривать
пр..вкусный,превкусный
пр..возмочь (боль),превозмочь
пр..волжский,приволжский
пр..волье,приволье
пр..волье (вокруг),приволье
пр..вращение,превращение
пр..глотит,проглотит
пр..глушить,приглушить
пр..годиться,пригодиться
пр..града,преграда
пр..градить,преградить
пр..грозить,пригрозить
пр..даное (невесты),приданое
пр..двзятый,предвзятый
пр..дедушка,прадедушка
пр..держивать (дверь),придерживать
пр..добрый,предобрый
пр..дсказать,предсказать
пр..емлемый,приемлемый
пр..емственность,преемственность
пр..землиться,приземлиться
пр..знаться,признаться
пр..изойти,произойти
пр..исполненный,преисполненный
пр..крепить,прикрепить
пр..ласкать,приласкать
пр..мета,примета
пр..морский,приморский
пр..мудрый,премудрый
пр..нарядиться,принарядиться
пр..неприятный,пренеприятный
пр..обладать,преобладать
пр..ображённый,преображённый
пр..образ,прообраз
пр..образ (будущего),прообраз
пр..образить,преобразить
пр..образование,преобразование
пр..обретение,приобретение
пр..обрёл,приобрёл
пр..одолею,преодолею
пр..озёрный,приозёрный
пр..остановить,приостановить
пр..открывшийся,приоткрывшийся
пр..открытый,приоткрытый
пр..открыть,приоткрыть
пр..открыть (дверь),приоткрыть
пр..плясывать,приплясывать
пр..поднятый,приподнятый
пр..пятствие,препятствие
пр..родина,прародина
пр..рывистое (движение),прерывистое
пр..своить,присвоить
пр..славянский (язык),праславянский
пр..спокойно,преспокойно
пр..станище,пристанище
пр..стиж,престиж
пр..страстие,пристрастие
пр..стройка,пристройка
пр..стройка (к дому),пристройка
пр..студа,простуда
пр..ступление,преступление
пр..ступник,преступник
пр..ступный (сговор),преступный
пр..стыдил (друга),пристыдил
пр..стыдить,пристыдить
пр..терпеться,притерпеться
пр..терпеться (к боли),притерпеться
пр..увеличить,преувеличить
пр..уныть,приуныть
пр..успеть,преуспеть
пр..чудливый,причудливый
пр..чудливый (узор),причудливый
пр..шелец,пришелец
пр..школьный,пришкольный
пр..щуриться,прищуриться
пр..язык,праязык
прав..вший (лошадьми),правивший
правопр..емник,правопреемник
пре..вкушение,предвкушение
пре..защита (диссертации),предзащита
пре..писание,предписание
пре..писать,предписать
пре..полагать,предполагать
пре..приниматель,предприниматель
пре..пусковой,предпусковой
пре..сказание,предсказание
пре..ставить,представить
пре..шественник,предшественник
пре..шествовать,предшествовать
пред..дущий,предыдущий
пред..нфарктное (состояние),предынфарктное
пред..ставить,предоставить
пред..стория,предыстория
пред..юбилейный,предъюбилейный
пред..юньский,предыюньский
пред..явитель,предъявитель
пред..явить,предъявить
предвид..вший,предвидевший
предл..гать,предлагать
предл..жение,предложение
предпол..гать,предполагать
предпол..жительно,предположительно
предприимч..вый,предприимчивый
предст..вительный,представительный
представ..шься,представишься
предъ..вить,предъявить
прекл..нение,преклонение
прем..ера,премьера
преобр..зить,преобразить
преобр..зовать,преобразовать
преодол..вавший,преодолевавший
препод..ватель,преподаватель
преподават..ль,преподаватель
претерп..вать,претерпевать
претерп..вая,претерпевая
прив..заться,привязаться
привередл..вый,привередливый
приветл..во,приветливо
привстан..шь,привстанешь
приг..рающий,пригорающий
приг..ревшая,пригоревшая
приемл..мый,приемлемый
прик..сновение,прикосновение
прик..снуться,прикоснуться
прил..жить,приложить
прил..жить (усилия),приложить
прил..скать (щенка),приласкать
прин..мать,принимать
припа..нный (к чайнику носик),припаянный
прир..щение,приращение
прис..гать,присягать
прис..гать (Родине),присягать
присва..вать,присваивать
присво..шь,присвоишь
приск..кал (заяц),прискакал
приск..кать,прискакать
присп..собиться (к условиям),приспособиться
про..вляющийся,проявляющийся
проб..раться,пробираться
пров..нциальный,провинциальный
провер..нный,проверенный
провер..шь,проверишь
проверя..мый,проверяемый
провозгл..шать,провозглашать
прогр..ммировать,программировать
программир..вать,программировать
продл..вать,продлевать
продл..вающий,продлевающий
проед..шься,проедешься
прои..шествие,происшествие
проигр..вать (схватку),проигрывать
прокашл..вшийся,прокашлявшийся
пром..кающий,промокающий
пром..хнуться,промахнуться
пропил..нное (отверстие),пропиленное
просв..щение,просвещение
просиж..вать,просиживать
просл..влять,прославлять
прослуш..нный,прослушанный
просматр..вая,просматривая
проста..вая,простаивая
прот..реть (окно),протереть
противореч..щий,противоречащий
проч..тать (книгу),прочитать
пугов..ца,пуговица
пул..вое (ранение),пулевое
р..внина,равнина
р..зговор,разговор
р..зобщённо,разобщённо
р..зровнять,разровнять
р..зыграть,разыграть
р..зыскать,разыскать
р..мантизм,романтизм
р..месло,ремесло
р..скошный,роскошный
р..списание,расписание
р..спорядился,распорядился
р..спорядиться,распорядиться
р..стительность,растительность
р..сток,росток
р..форма,реформа
ра..бушевался,разбушевался
ра..гореться,разгореться
ра..грызть,разгрызть
ра..делка,разделка
ра..каяние,раскаяние
ра..колоть,расколоть
ра..мешал,размешал
ра..мешать,размешать
ра..мышлять,размышлять
ра..париться,распариться
ра..писание,расписание
ра..порядок,распорядок
ра..пущенный,распущенный
ра..сеять,рассеять
ра..средоточивать,рассредоточивать
ра..торгнуть,расторгнуть
ра..ценки,расценки
ра..чищенный,расчищенный
ра..чёт,расчёт
ра..шевелить,расшевелить
ра..ширить,расширить
ра..ширяться,расширяться
ра..щедриться,расщедриться
раз..бщённый,разобщённый
раз..грать,разыграть
раз..ехались,разъехались
раз..ехаться,разъехаться
раз..скать,разыскать
раз..ём,разъём
разб..гатеть,разбогатеть
разб..раться,разбираться
разбавл..нный,разбавленный
разборч..вый,разборчивый
развед..вать,разведывать
разг..вор,разговор
разг..дать,разгадать
разг..релся (спор),разгорелся
разд..раемый (противоречиями),раздираемый
раздва..ваться,раздваиваться
раздум..вать,раздумывать
разлож..шь (вещи),разложишь
размеж..ваться,размежеваться
разнос..ик,разносчик
разр..статься,разрастаться
разув..рять,разуверять
ран..ный (боец),раненый
ран..шь,ранишь
раск..лённый,раскалённый
раск..чаться,раскачаться
раска..лся,раскаялся
раскол..шь,расколешь
раскра..вать,раскраивать
расплывч..тый,расплывчатый
расплывч..тый (силуэт),расплывчатый
распол..гающийся,располагающийся
распор..шь (швы),распорешь
распущ..нный,распущенный
расскаж..шь,расскажешь
рассматр..вая,рассматривая
рассмотр..шь,рассмотришь
рассчит..вать,рассчитывать
раст..рать,растирать
растр..пать,растрепать
расходу..мый,расходуемый
расцвеч..нный,расцвеченный
расчист..вший,расчистивший
расчётл..вый,расчётливый
ре..щий (стяг),реющий
рекл..мировать,рекламировать
рит..рический,риторический
ро..пись (на стене),роспись
рождеств..нский,рождественский
роз..грыш,розыгрыш
рокоч..щий (мотор),рокочущий
рубаш..чный,рубашечный
рул..вой,рулевой
руч..нка,ручонка
рыж..ватый,рыжеватый
с..автор,соавтор
с..бирать,собирать
с..вший,севший
с..гласие,согласие
с..грать,сыграть
с..езд,съезд
с..естной,съестной
с..звучно,созвучно
с..знова,сызнова
с..митировать,сымитировать
с..мпатия,симпатия
с..мпровизировать,сымпровизировать
с..мфония,симфония
с..нкционировать,санкционировать
с..переживание,сопереживание
с..путствовать,сопутствовать
с..рвать,сорвать
с..рень,сирень
с..стематизировать,систематизировать
с..тевой (шнур),сетевой
с..трудник,сотрудник
с..язвить,съязвить
с..ёжился,съёжился
с..ёжиться,съёжиться
с..ёмка,съёмка
с..ёмщик,съёмщик
сат..рический,сатирический
сахарн..ца,сахарница
сбав..вший,сбавивший
сбал..нсированный,сбалансированный
сбер..гать,сберегать
сброш..нный,сброшенный
св..товство,сватовство
свар..ик,сварщик
сверка..щий,сверкающий
сверх..естественный,сверхъестественный
сверх..зысканно,сверхизысканно
сверх..зысканный,сверхизысканный
сверх..нтересный,сверхинтересный
свет..кий,светский
светл..нький,светленький
свинц..вый (слиток),свинцовый
сг..рать,сгорать
сгор..ча,сгоряча
се..щий,сеющий
се..щий (пшеницу),сеющий
сердц..вина,сердцевина
сетч..тый,сетчатый
сж..гать,сжигать
сж..мать (кулак),сжимать
симв..лизировать,символизировать
симп..тичный,симпатичный
син..ва (неба),синева
син..ватый,синеватый
сирен..ватый,сиреневатый
сирен..вый,сиреневый
сист..матизировать,систематизировать
сит..чко (для чая),ситечко
ситц..вый,ситцевый
сия..шь,сияешь
сия..щий (от радости),сияющий
скач..щий (на коне),скачущий
скле..нный,склеенный
скр..пить (листы),скрепить
скро..нный (костюм),скроенный
скромн..нький,скромненький
сл..гаемые (успеха),слагаемые
сл..паются (глаза),слипаются
сладк..ватый,сладковатый
словосоч..тание,словосочетание
слыш..м,слышим
слыш..мый,слышимый
см..шать (краски),смешать
смаз..ик,смазчик
сме..щий (возражать),смеющий
сн..мать,снимать
сначал..,сначала
сни..хождение,снисхождение
снов..,снова
соб..рательство,собирательство
соб..рающий,собирающий
соб..рёт,соберёт
соб..рёшь,соберёшь
соб..ётся,собьётся
совет..вать,советовать
сокр..венные (мечты),сокровенные
сокр..щать,сокращать
сокр..щение,сокращение
солом..нка,соломинка
сомн..ваться,сомневаться
сообр..зить,сообразить
сопр..косновение,соприкосновение
сосед..кий,соседский
сотв..рить,сотворить
соч..нский (пляж),сочинский
соч..тание,сочетание
спл..титься,сплотиться
спорт..нвентарь,спортинвентарь
спорщ..к,спорщик
спряч..шься,спрячешься
ср..внение (данных),сравнение
ср..внить (два предмета),сравнить
ссор..щиеся (ребята),ссорящиеся
ст..листический,стилистический
ст..мулировать,стимулировать
ст..пендия,стипендия
стар..нький,старенький
старш..нство,старшинство
стел..шь,стелешь
стро..вший,строивший
суб..ект,субъект
суб..ективизм,субъективизм
суб..ядерный,субъядерный
сув..ренитет,суверенитет
суп..робложка,суперобложка
супер..ядро,суперъядро
сызнов..,сызнова
сыпл..шь,сыплешь
т..атральный,театральный
т..лант,талант
т..мительный,томительный
т..реть (руки),тереть
т..рминология,терминология
т..снота,теснота
талантл..вый,талантливый
тащ..щий,тащащий
тв..рец,творец
тв..рить (добро),творить
те..ретический,теоретический
терп..щий (бедствие),терпящий
ткан..вый,тканевый
толщ..на,толщина
тор..пливый,торопливый
торф..ное (болото),торфяное
тр..вожиться,тревожиться
тр..ллейбусный (парк),троллейбусный
тр..нажёр,тренажёр
тр..нироваться,тренироваться
тр..стник,тростник
тр..фарет,трафарет
транс..европейский,трансъевропейский
трат..щий (накопления),тратящий
тревож..вшийся,тревожившийся
трет..и (сутки),третьи
трущ..ба,трущоба
трёх..язычный,трёхъязычный
трёх..ярусный,трёхъярусный
тунгус..кий,тунгусский
тюлен..вый,тюленевый
уб..дить,убедить
уб..диться,убедиться
ув..дание (цветов),увядание
ув..ковечить,увековечить
увенч..нный,увенчанный
увеч..е,увечье
увид..нный,увиденный
увл..кательный,увлекательный
увл..каться,увлекаться
увл..чение,увлечение
увлека..мый,увлекаемый
угн..тённый,угнетённый
уд..вительно,удивительно
удва..вающий,удваивающий
удерж..нный,удержанный
удл..нить,удлинить
удоста..вая,удостаивая
уед..шь,уедешь
уклонч..вый,уклончивый
укр..щать,укрощать
укр..щать (зверя),укрощать
украш..нный,украшенный
ул..тучиться,улетучиться
улучш..нный,улучшенный
улыбч..вый,улыбчивый
ультр..правые,ультраправые
ун..жение,унижение
упл..тнитель,уплотнитель
упр..вляющий,управляющий
упр..кать (в скупости),упрекать
упр..стить,упростить
упр..щённый,упрощённый
ур..внение (с двумя неизвестными),уравнение
ур..внение (с переменной),уравнение
усидч..вый,усидчивый
усл..жнённый,усложнённый
услыш..вший (звуки),услышавший
услыш..шь,услышишь
усм..рённый,усмирённый
успок..ительное (средство),успокоительное
уст..ревший,устаревший
устра..вать,устраивать
устро..вший (встречу),устроивший
утрат..в (силу),утратив
ухв..титься,ухватиться
ф..рмализм,формализм
фамил..ярный,фамильярный
фасол..вый,фасолевый
фельд..егерь,фельдъегерь
фи..летовый,фиолетовый
француз..кий,французский
хитр..цы,хитрецы
хл..потать,хлопотать
хр..никальный,хроникальный
ц..ганский,цыганский
ц..клон,циклон
ц..линдр,цилиндр
ц..ничный (человек),циничный
ц..нтральный,центральный
ц..ркачи,циркачи
ц..рковой (артист),цирковой
ц..тата,цитата
целл..фановый,целлофановый
ч..стоплотный,чистоплотный
ч..твёртый,четвёртый
чере..полосица,чересполосица
чере..чур,чересчур
черешн..вый,черешневый
чист..нький,чистенький
ш..лестеть,шелестеть
ш..нка,шинка
швед..кий,шведский
шепч..шь,шепчешь
шеств..вать,шествовать
щ..бетать,щебетать
щавел..вый,щавелевый
щур..щийся (от солнца),щурящийся
эв..люция,эволюция
эк..логический,экологический
экз..менатор,экзаменатор
экон..мический,экономический
экон..мичный,экономичный
экспер..мент,эксперимент
эл..ктроника,электроника
эл..мент,элемент
эм..лированная (посуда),эмалированная
эмал..вый,эмалевый
энц..клопедия,энциклопедия
энциклоп..дист,энциклопедист
эст..тический,эстетический
эфф..ктивный,эффективный
яблон..вый,яблоневый
(ветер) свищ..т,свищет
(ветры) высуш..т,высушат
(ветры) гон..т,гонят
(вещи) высуш..тся,высушатся
(волки) рыщ..т,рыщут
(гости) увид..т,увидят
(дать) ..дачу,сдачу
(дети) плач..т,плачут
(друзья) увид..тся,увидятся
(друзья) утеш..т,утешат
(крестьянин) паш..т,пашет
(кулинары) замес..т (тесто),замесят
(лес) дремл..т,дремлет
(он) маш..т,машет
(он) постро..т,построит
(члены) ж..ри,жюри
(шнурки) развяж..тся,развяжутся
(это) мерещ..тся,мерещется
(яркое) осв..щение,освещение
ан..лизировать,анализировать
ант..пригарный,антипригарный
арх..опасный,архиопасный
арх..серьёзный,архисерьёзный
б..ют (часы),бьют
бан..ик (работник бани),банщик
в..балтывать,выбалтывать
в..бираться (на дерево),выбираться
в..ездной,выездной
ветр..ная (мельница),ветряная
гнездов..е,гнездовье
двух..язычный,двухъязычный
дет..ясли,детясли
дириж..р,дирижёр
дл..щий (с выбором),длящий
з..ря,заря
завис..ть,зависеть
завис..ть (от других),зависеть
зал..зать (на дерево),залезать
зам..рать (от восторга),замирать
зам..рять (длину),замерять
замет..в (добычу),заметив
замет..шь,заметишь
замеш..н (в деле),замешан
зап..вал (водой),запивал
зап..вать (водой),запивать
заш..ёт,зашьёт
защебеч..т (птицы),защебечут
избирательн..,избирательно
ин..екция,инъекция
ин..екция (раствора),инъекция
иск..са,искоса
кар..ера,карьера
контр..удар,контрудар
крюч..к,крючок
л..ющийся (свет),льющийся
моряц..кий,моряцкий
на..пиливать,надпиливать
на..пилить,надпилить
нав..вать (воспоминания),навевать
накол..м,наколим
намер..ваться,намереваться
нап..вать (мелодию),напевать
напряж..нный,напряжённый
не..добный (пирог),несдобный
не..плаченный (счёт),неоплаченный
не..тправленное,неотправленное
непр..глядный (поступок),неприглядный
ноч..вка,ночёвка
об..жаться,обижаться
обезвод..ли (землю),обезводили
обескров..ть (врага),обескровить
обессил..ть (врага),обессилить
обессил..ть (от усталости),обессилеть
обл..гать (налогом),облагать
ок..тить (водой из ведра),окатить
осв..тить (фонарём),осветить
осв..щать (фонарём),освещать
от..мённое (прилагательное),отымённое
отв..рить (картофель),отварить
отв..рить (окно),отворить
п..еса,пьеса
питом..ц,питомец
по..бирать,подбирать
по..виться,появиться
по..заправка,подзаправка
поб..дитель,победитель
повер..вший,поверивший
под..ём,подъём
подр..жать (писателю),подражать
пол..гать,полагать
пол..скать (бельё),полоскать
пол..скать (кошку),поласкать
пом..рить (друзей),помирить
помн..шь,помнишь
пос..деть (от горя),поседеть
посв..тить (стихи другу),посвятить
пощ..чина,пощёчина
пр..бить (гвоздь),прибить
пр..бывать (в городе),пребывать
пр..бывать (на станцию),прибывать
пр..горелый,пригорелый
пр..даваться (веселью),предаваться
пр..дать (друга),предать
пр..держать (товар),придержать
пр..дзаказ,предзаказ
пр..клеить (на бумагу),приклеить
пр..образовать,преобразовать
пр..седания (со штангой),приседания
пр..следовать (врага),преследовать
пр..следовать (нарушителя),преследовать
пр..слушиваться,прислушиваться
пр..смотреть (за ребёнком),присмотреть
пр..твориться (спящим),притвориться
пред..нфарктный,предынфарктный
пред..январский,предъянварский
прим..рить (друзей),примирить
прим..рять (вещи),примерять
прим..рять (обновку),примерять
прим..рять (одежду),примерять
прим..рять (платье),примерять
прим..рять (поссорившихся),примирять
раз..брать,разобрать
размеж..вывать (участки),размежёвывать
разноскл..няемое,разносклоняемое
разр..дить (обстановку),разрядить
разр..дить (ружьё),разрядить
распар..вать (швы),распарывать
реш..нный,решённый
самокле..щиеся (обои),самоклеющиеся
сверх..дейный,сверхидейный
сверх..нтуиция,сверхинтуиция
сверх..скусный,сверхискусный
сгущ..нное (молоко),сгущённое
серебр..ный,серебряный
сж..г (дотла),сжёг
ск..сить (траву),скосить
скач..нный (файл),скачанный
скр..пучий,скрипучий
сл..пить (снеговика),слепить
смещ..нный (вправо),смещённый
собач..нка,собачонка
сош..ют,сошьют
сп..шите (слово в тетрадь),спишите
ср..внять (счёт),сравнять
ст..рать (с доски),стирать
ст..рожил (сад),сторожил
стел..тся (туман),стелется
стел..щийся,стелющийся
супер..гра,суперигра
суч..к,сучок
тащ..щаяся (повозка),тащащаяся
туш..нка,тушёнка
ул..чить (во лжи),уличить
ум..лять (значение),умалять
ум..лять (о помощи),умолять
ч..стота (помещения),чистота
ш..ёт (платье),шьёт
экстр..класс,экстракласс
